Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
KCAI,100.0,55.45,41.67,32.1,100.0,100.0,100.0,100.0,100.0,45.99,100.0,22.39
QBUF,65.34,54.1,41.49,29.88,68.07,71.01,60.37,60.37,60.37,34.13,83.19,41.13
FDAT,69.45,50.23,41.44,21.65,83.39,63.48,63.48,63.48,63.48,41.61,67.57,40.45
PEMX,78.74,65.31,41.33,76.41,100.0,69.63,69.63,69.63,69.63,65.7,100.0,34.72
HYMB,69.2,54.4,41.22,25.08,100.0,59.74,53.02,53.84,56.3,66.17,53.16,48.12
KLMT,68.21,62.06,40.95,31.5,65.22,69.49,69.49,69.49,69.49,56.57,89.83,41.18
CVAR,100.0,54.83,40.94,28.39,100.0,100.0,100.0,100.0,100.0,53.48,84.73,29.5
PWRD,67.38,60.73,40.59,107.14,100.0,50.93,54.66,54.94,54.9,65.43,92.74,29.78
UXI,66.22,53.93,40.52,55.16,80.89,59.93,59.93,59.93,59.93,67.02,100.0,5.45
MINV,78.02,60.43,40.46,42.27,100.0,68.6,68.6,68.6,68.6,63.97,98.62,24.8
EMDM,65.4,62.08,40.19,38.52,100.0,50.71,50.5,50.5,50.5,60.05,100.0,30.18
WAR,66.82,64.0,40.15,26.64,100.0,51.29,53.33,53.33,53.33,70.6,98.37,29.81
DDM,65.93,49.61,40.08,55.28,100.0,61.23,45.0,44.58,49.1,68.56,83.79,7.85
COPX,66.38,72.35,40.0,83.97,82.91,67.42,56.47,56.47,48.89,84.67,100.0,40.45
GDX,69.42,70.58,40.0,98.43,100.0,63.76,52.02,51.81,52.95,77.61,100.0,40.45
NVDX,70.22,51.73,40.0,16.13,100.0,66.64,52.24,51.34,53.62,90.67,73.77,8.11
SIHY,91.44,51.94,39.92,45.15,92.94,91.17,90.58,90.58,90.58,43.27,75.25,36.95
TSMU,66.4,53.5,39.82,60.13,100.0,44.44,56.2,56.2,56.2,65.27,100.0,5.45
FRDM,71.04,66.26,39.65,59.88,60.88,89.3,69.67,70.48,59.83,68.37,100.0,35.42
PMJA,97.38,49.52,39.47,26.91,97.38,97.38,97.38,97.38,97.38,36.09,69.49,40.45
XJUN,73.93,57.27,39.31,43.65,79.74,71.44,71.44,71.44,71.44,46.0,83.92,40.99
XIDE,90.43,52.69,39.19,30.0,100.0,86.33,86.33,86.33,86.33,43.26,73.41,40.45
IMFL,77.99,55.82,39.11,32.67,36.0,94.19,96.98,96.98,96.98,53.31,100.0,18.73
PATN,73.45,64.82,39.08,30.3,82.22,81.46,63.16,63.16,63.16,67.19,100.0,32.56
FTA,66.47,59.44,38.75,93.03,100.0,55.63,50.15,50.15,50.15,40.47,98.26,37.34
BULZ,70.54,53.11,38.68,23.51,100.0,61.23,57.66,54.01,54.18,89.76,70.0,15.43
AJUL,67.73,53.61,38.39,29.43,0.0,96.76,96.76,96.76,96.76,43.8,75.65,40.45
BEMB,99.82,54.51,38.23,53.23,99.76,99.85,99.85,99.85,99.85,45.29,77.16,40.45
HYDB,71.53,56.41,38.09,46.88,100.0,56.91,52.11,75.33,67.45,46.91,75.15,45.96
ROBO,66.24,57.22,38.04,74.2,88.11,66.26,51.95,49.27,53.32,69.64,96.26,15.31
REMX,69.67,60.09,37.79,98.48,100.0,69.45,50.11,49.28,48.48,63.19,100.0,23.24
INTW,68.62,51.76,37.74,108.18,100.0,66.47,50.05,45.76,49.12,58.32,100.0,5.45
PWZ,69.3,46.64,37.61,24.24,90.43,72.06,53.79,53.42,53.66,42.91,58.78,38.34
HYGV,72.2,53.24,37.49,40.32,100.0,59.13,61.67,61.13,58.89,44.59,75.28,39.37
FTHF,85.63,64.29,37.46,40.86,100.0,79.47,79.47,79.47,79.47,66.17,100.0,31.87
BSJV,77.9,53.21,37.27,26.33,87.18,73.93,73.93,73.93,73.93,50.67,69.62,40.45
IMF,68.43,50.81,37.23,51.26,0.0,97.76,97.76,97.76,97.76,32.93,80.37,36.11
